"timestamp","cpu_total","mem_usage_percent","anomaly_score","is_anomaly","server_up"
"0","0.0740000000007965","0.0800534999392828","0.335703810666123","0","2"
"30","0.0870000000000799","0.0799512394414807","0.196092383535097","0","2"
"60","0.0649999999996906","0.0800198228041893","0.432357875620191","0","2"
"90","0.0780000000002473","0.080018839530172","0.292746448475491","0","2"
"120","0.0574999999997088","0.0800171188006417","0.512902929738489","0","2"
"150","0.0909999999993032","0.0800554664873175","0.153135021346909","0","2"
"180","0.0560000000003127","0.0801324076791734","0.529011940555702","0","2"
"210","0.0699999999996974","0.0800734112381337","0.378661172874456","0","2"
"240","0.100500000000193","0.0782998307293779","0.0511112861205972","0","2"
"270","0.461499999999864","0.0798551244062869","3.82579065211268","1","2"
"300","0.127000000000135","0.0799623012741756","0.233481238430786","0","2"
"330","0.0774999999994178","0.0800004031423471","0.298116118758966","0","2"
"360","0.0735000000011494","0.0801112672878009","0.341073480936899","0","2"
"390","0.075499999999556","0.0800866854373677","0.319594799855747","0","2"
"420","0.305999999999858","0.0796778892646634","2.15582319672252","0","2"
"450","0.113000000001011","0.0785603983439699","0.0831304707523473","0","2"
"480","0.0829999999996287","0.0796877220048367","0.239049745736473","0","2"
"510","0.0615000000003418","0.0797985861502905","0.469945567535161","0","2"
"540","0.102500000000236","0.0796798558126981","0.0296326050218651","0","2"
"570","0.067500000000018","0.0798138268975591","0.405509524243844","0","2"
"600","0.530499999999529","0.0937981957905056","4.56680514999921","1","2"
"630","0.534500000000116","0.0956870651777931","4.60976251220205","1","2"
"660","0.490000000000782","0.0954805776341542","4.13186185777281","1","2"
"690","0.359999999999479","0.0799276408650648","2.7357475863716","0","2"
"720","0.128500000000258","0.0794301042122967","0.249590249255812","0","2"
"750","0.102500000000327","0.0800675115940297","0.0296326050208878","0","2"
"780","0.0584999999999126","0.0804291106139022","0.502163589187168","0","2"
"810","0.0700000000006183","0.08028088205579","0.378661172864566","0","2"
"840","0.484999999999672","0.0803278333901174","4.07816515501523","1","2"
"870","0.138000000000556","0.0805419413073906","0.351613984475774","0","2"
"900","0.11150000000016","0.0803253752050741","0.0670214599195073","0","2"
"930","0.0595000000002073","0.080658459278444","0.491424248634871","0","2"
"960","0.0955000000005383","0.0807356462888043","0.104807988862549","0","2"
"990","0.178500000000122","0.0789797647123604","0.786557276710968","0","2"
"1020","0.32549999999992","0.0790038549257849","2.36524033743127","0","2"
